brands,sourceUrl,type,produces,id,source,evConversionPlans,investmentAmount,countryId,manufacturer,location.lat,location.lng,city,name
Bugatti,https://www.autocar.co.uk/car-news/new-cars/bugatti-expand-molsheim-hq-prepare-electric-hypercar,ev,Cars,bugatti-rimac-molsheim,Autocar,"The Molsheim headquarters features a 2,120-square-meter facility for assembling next-generation hybrid hypercars like the V16 Tourbillon. While Rimac Technology supplies the EV batteries and powertrains, this site focuses on final systems integration and assembly. Construction on the expansion was scheduled to commence in late 2024.",No data available.,FRA,BUGATTI RIMAC,48.5404,7.492,Molsheim,BUGATTI RIMAC Molsheim
BYD electric buses,https://www.electrive.com/2025/06/30/electric-buses-for-europe-byd-triples-capacity-at-komarom-plant/,ev,Buses,byd-komarm,electrive.com,"BYD has tripled its capacity at this facility to produce 1,250 electric buses and trucks annually, a target set for 2025. The site includes a 29,000-square-meter production plant and an R&D test lab, while other Hungarian locations manage passenger EV and battery production.",€80m investment in plant facilities,HUN,BYD,47.7451335,18.0833677,Komaróm,BYD Komaróm
Solaris,https://www.cafmobility.com,ev,Buses,caf-bolechowo,CAF Group,The Solaris Bus & Coach facility in Bolechowo is a leading electric bus manufacturer. Ongoing investments through 2026 include new equipment and vehicle finishing platforms to increase production capacity for zero-emission buses.,No data available.,POL,CAF GROUP,52.54655482,16.97661254,Bolechowo,CAF GROUP Bolechowo
Castrosua,https://bus-news.com/grupo-castrosua-and-yutong-sign-loi-for-development-manufacturing-of-electric-buses/,ev,Buses,castrosua-santiago-de-compostela,Bus-News,"The Santiago de Compostela facility produces electric bus bodies and has fully electrified its commercial range. The site scales EV production through a partnership with Yutong and assembles buses using chassis from BYD, Volvo, and Scania. Castrosua also recently launched the Neno nano electric vehicle.",No data available.,ESP,CASTROSUA,42.9055,-8.516841,Santiago de Compostela,CASTROSUA Santiago de Compostela
DAF; Battery packs,https://cleantechnica.com/2023/05/01/dafs-all-new-electric-truck-assembly-plant-in-the-netherlands-is-officially-open/,ev,"HDVs, Engines/Electric motors, Batteries",daf-trucks-nv-eindhoven,CleanTechnica,"DAF Trucks operates a 5,000-square-meter Electric Truck Assembly Plant in Eindhoven. The facility produces battery-electric DAF XD, XF, and XB models, with an annual capacity of thousands of zero-emission trucks.",No data available.,NLD,DAF TRUCKS NV,51.441642,5.469722,Eindhoven,DAF TRUCKS NV Eindhoven
Mercedes-Benz by EvoBus,https://www.sustainable-bus.com/news/first-made-in-france-mercedes-ecitaro-rolls-off-production-lines-in-ligny-en-barrois/,ev,Buses,daimler-truck-ligny-en-barrois,Sustainable Bus,"The Ligny-en-Barrois plant is Daimler Truck's largest European electric bus production center. Production of the Mercedes eCitaro commenced in June 2024, with the facility aiming for 100% electric bus production by 2030.",€142m total investment for 2024 rollout,FRA,DAIMLER TRUCK,48.68827,5.32397,Ligny-en-Barrois,DAIMLER TRUCK Ligny-en-Barrois
"Mercedes-Benz, EvoBus; truck engines; battery packs (InnoLab Battery)",https://www.daimlertruck.com/en/newsroom,ev,"Buses, Engines/Electric motors, Batteries",daimler-truck-mannheim,Daimler Truck,"The Mannheim plant is a competence center for battery technologies and high-voltage systems. Since 2024, the facility has focused exclusively on producing fully electric city buses, including the eCitaro. Series production of next-generation batteries is planned for the late 2020s.",Part of €2bn German production investment,DEU,DAIMLER TRUCK,49.487459,8.466039,Mannheim,DAIMLER TRUCK Mannheim
Mercedes-Benz custom tailored trucks,https://mercedes-benz-trucks-molsheim.fr/,ev,HDVs,daimler-truck-molsheim,Mercedes-Benz Trucks Molsheim,"The Molsheim facility produces pre-series electric heavy-duty vehicles and prototypes, including the eActros 300 lowliner. Following the production of over 100 electric units in 2023, the site underwent structural transformations, including new tooling and staff training, to scale up electric vehicle operations.",No data available.,FRA,DAIMLER TRUCK,48.539254,7.5178083,Molsheim,DAIMLER TRUCK Molsheim
"Mercedes-Benz, Setra, EvoBus",https://www.daimlertruck.com/en/newsroom/pressrelease/management-of-daimler-buses-and-general-works-council-agree-on-target-picture-to-ensure-competitiveness-and-the-german-sites-52317141,ev,Buses,daimler-truck-neu-ulm,Daimler Truck,"The Neu-Ulm plant is scheduled to begin production of fully electric intercity buses in the second half of the decade. Plans include expanding to battery-electric and hydrogen fuel cell coaches by 2030, with bus bodyshell construction moving to the Czech Republic starting in 2028.",€150m for Neu-Ulm and Mannheim plants,DEU,DAIMLER TRUCK,48.390604,10.00604,Neu-Ulm,DAIMLER TRUCK Neu-Ulm
Fuso,https://www.daimlertruck.com/en/newsroom/pressrelease/mitsubishi-fuso-plant-tramagal-portugal-celebrates-anniversary-60-years-of-truck-manufacturing-5231921,ev,HDVs,daimler-truck-tramagal,Daimler Truck,The Tramagal facility mass produces the FUSO eCanter electric truck. Production through 2026 includes an expanded electric portfolio with specialized chassis configurations and vehicle exports to new international markets.,No data available.,PRT,DAIMLER TRUCK,39.451625,-8.254116,Tramagal,DAIMLER TRUCK Tramagal
Mercedes-Benz,https://www.sustainabletruckvan.com/daimler-truck-to-receive-226-million-funding-to-develop-hydrogen-powered-trucks/,ev,HDVs,daimler-truck-wrth,Sustainable Truck & Van,"The Wörth plant is Daimler Truck's hub for emission-free transport, producing the eActros 600 and eActros 400. In 2026, the facility is commissioning Megawatt Charging Systems, fully electrifying inbound logistics, and beginning assembly of 100 hydrogen fuel-cell trucks.",No data available.,DEU,DAIMLER TRUCK,49.051442,8.257338,Wörth,DAIMLER TRUCK Wörth
DR (Chery),https://www.quattroruote.it/news/industria-finanza/2025/08/26/dr_automobiles_piu_risorse_per_macchia_d_isernia.html,ev,Cars,dr-motor-macchia-disernia,Quattroruote,The Macchia d'Isernia plant serves as an advanced industrial hub for electric and hybrid vehicle assembly. The facility expansion included new production lines and the creation of 300 jobs.,€70 million investment in plant facilities,ITA,DR MOTOR,41.562027,14.167261,Macchia d'Isernia,DR MOTOR Macchia d'Isernia
Ebusco electric buses,https://www.electrive.com/2022/07/22/ebusco-announces-plans-to-build-buses-in-france/,ev,Buses,ebusco-clon,electrive.com,The Cléon headquarters serves as a dedicated manufacturing plant for the all-electric Ebusco 3.0. The facility is currently scaling toward a target production capacity of 500 electric buses annually for the French and Southern European markets.,"€10,000,000 in plant investment",FRA,EBUSCO,49.3158196,1.048496947,Cléon,EBUSCO Cléon
aCar,https://www.jolt-capital.com/news/jolt-capital-leads-e20-million-round-in-evum-motors,ev,LCVs,evum-motors-bayerbach-bei-ergoldsbach,Jolt Capital,"EVUM Motors' facility produces the aCar, a fully electric commercial vehicle. Following a 2023 funding round, the company filed for insolvency in April 2025, leading to the suspension of all future expansion projects.",€20m allocated for plant expansion,DEU,EVUM MOTORS,48.70502372,12.29551156,Bayerbach bei Ergoldsbach,EVUM MOTORS Bayerbach bei Ergoldsbach
Ferrari,https://ilglobo.com/en/news/ferrari-presents-its-new-200-million-euro-e-building-112773/,ev,"Cars, Engines/Electric motors, Batteries",ferrari-maranello,Il Globo,"The Maranello e-building is a 42,500-square-meter facility dedicated to Ferrari's first fully electric vehicle, which began production in early 2026. The site handles the in-house design and assembly of electric motors, high-voltage batteries, and axles, alongside internal combustion and hybrid models.",€200 million for plant investment,ITA,FERRARI,44.526302,10.866683,Maranello,FERRARI Maranello
Ford,https://www.romania-insider.com/ford-otosan-begins-delivery-first-electric-vehicles-manufactured-romania,ev,"Cars, LCVs, Engines/Electric motors",ford-of-europe-craiova,Romania Insider,"The Craiova facility produces the Puma Gen-E, E-Transit Courier, and E-Tourneo Courier. A battery assembly line opened in October 2024, with the first customer deliveries of electric vehicles having commenced in March 2025.",€500 million in plant investment,ROU,FORD OF EUROPE,44.330179,23.794881,Craiova,FORD OF EUROPE Craiova
Ford,https://media.ford.com/content/fordmedia/fna/us/en/news/2024/06/04/mass-production-of-new-all-electric-explorer-starts-at-fords-ev-.html,ev,Cars,ford-of-europe-kln,Ford Media Center,"The Ford Cologne Electric Vehicle Center is Ford’s first dedicated EV facility in Europe, with an annual capacity of over 250,000 vehicles. The site produces the all-electric Ford Explorer and Ford Capri sports crossover, alongside battery pack assembly.",$2 billion investment in plant facilities,DEU,FORD OF EUROPE,50.937531,6.960279,Köln,FORD OF EUROPE Köln
Ford; Lithium-ion battery packs,https://www.reuters.com/business/autos-transportation/ford-considers-producing-new-suv-valencia-spain-plant-2024-03-28/,ev,"Cars, LCVs, Engines/Electric motors, Batteries",ford-of-europe-valencia,Reuters / Invest in Spain,"Ford's Valencia plant is scheduled to begin production of a new multi-energy passenger SUV in 2027, with a target of 300,000 units annually. The site includes a dedicated battery assembly plant established with support from the Spanish government’s PERTE VEC II program.",€188m for battery assembly plant,ESP,FORD OF EUROPE,39.292765,-0.413208,Valencia (Almusafes),FORD OF EUROPE Valencia (Almusafes)
Electric motors,https://www.gehring-group.com/,ev,Engines/Electric motors,gehring-ostfildern,Gehring Group,"The Ostfildern plant focuses on electromobility, producing prototype plants and turnkey production lines for hairpin stators and electric motors. Through its E-Motive division and a strategic alliance with WAFIOS, the facility has developed advanced electric motor production solutions for the global automotive industry through 2026.",No data available.,DEU,GEHRING,48.73003236,9.26447148,Ostfildern,GEHRING Ostfildern
Ginaf heavy & special vehicles,https://hydrogenwire.com/,ev,HDVs,ginaf-veenendaal,HydrogenWire,"The Veenendaal facility has produced battery electric trucks since 2013. The site retrofits heavy-duty vehicles, such as concrete mixers and tippers, into hydrogen fuel-cell electric trucks and is finalizing its first hydrogen fuel-cell tractor unit.",No data available.,NLD,GINAF,52.026301,5.554431,Veenendaal,GINAF Veenendaal
Hispano Suiza,https://theevreport.com/hispano-suiza-sagrera-120-years-of-legacy,ev,Cars,hispano-suiza-montmel,The EV Report,"The Montmeló facility is dedicated to manufacturing electric hypercars and battery components through 2026. In June 2024, Hispano Suiza launched the Carmen Sagrera EV hypercar, which utilizes a 103 kWh second-generation battery pack developed and produced entirely on-site.",No data available.,ESP,HISPANO SUIZA,41.56798893,2.278426304,Montmeló (Barcelona),HISPANO SUIZA Montmeló (Barcelona)
Kia,https://electrek.co/2025/08/27/kia-issues-urgent-warning-avalanche-new-evs-coming/,ev,"Cars, Engines/Electric motors",hyundai-motor-zilina,Electrek,"The Žilina plant produces the EV4 electric hatchback and began manufacturing the EV2 compact SUV in 2026. As Kia's first European site for E-GMP platform vehicles, the facility aims to produce 180,000 electric vehicles annually by 2027.",€108 million investment in production plant,SVK,HYUNDAI MOTOR GROUP,49.22159,18.741952,Zilina,HYUNDAI MOTOR GROUP Zilina
Hyundai,https://www.hyundai.news/eu/,ev,"Cars, Batteries",hyundai-nosovice,Hyundai Motor Europe Newsroom,"Hyundai Motor Manufacturing Czech is the primary European hub for electric vehicles, producing the Kona Electric and the Inster EV. The facility operates a Battery System Assembly plant with an annual capacity of 450,000 units to support multiple European production sites.",Over €2 billion invested in Nošovice site,CZE,HYUNDAI MOTOR EUROPE,49.660725,18.426336,Nosovice,HYUNDAI MOTOR EUROPE Nosovice
Tecnobus electric minibuses,https://www.mobilityoutlook.com/news/tecnobus-takes-over-valeos-ferentino-site-in-strategic-move-towards-electric-mobility/,ev,Buses,icap-frosinone,Mobility Outlook,"ICAP Group, through Tecnobus, converted the former Valeo plant in Ferentino into an electric minibus production facility. The site leverages existing industrial capabilities to meet sustainable mobility demand with a workforce of over 150 employees.",€30m investment in plant facilities,ITA,ICAP GROUP,41.62561529,13.28893643,Frosinone,ICAP GROUP Frosinone
"Vivacity, Citymood",https://www.mimit.gov.it/it/notizie-stampa/tavolo-iia-seri-industrial-annuncia-mou-con-player-cinese-e-piano-di-sviluppo-con-nuove-assunzioni,ev,Buses,industria-italiana-autobus-bologna,Ministry of Enterprises and Made in Italy (MIMIT),"Menarini is transitioning to 100% electric bus production under an industrial plan that commenced in 2024. All mass production of electric vehicles and batteries is consolidated at the Flumeri plant, while the Bologna facility focuses on R&D, prototyping, and design.",€50m for corporate industrial relaunch plan,ITA,INDUSTRIA ITALIANA AUTOBUS,44.494887,11.342616,Bologna,INDUSTRIA ITALIANA AUTOBUS Bologna
"Vivacity, Citymood",https://www.itvonline.news/2025/02/13/il-governatore-de-luca-a-flumeri-rilancia-il-polo-autobus-la-regione-punta-su-menarini/,ev,Buses,industria-italiana-autobus-flumeri,ITV Online / Irpinia TV,"Following its acquisition by Seri Industrial, Menarini transitioned its Flumeri assembly site to full electric bus production. Supported by a technical partnership with Geely Group, the facility focuses entirely on manufacturing electric models and components.",€50m investment in plant facilities,ITA,INDUSTRIA ITALIANA AUTOBUS,44.494887,11.342616,Flumeri,INDUSTRIA ITALIANA AUTOBUS Flumeri
Irizar electric buses,https://www.noticiasdegipuzkoa.eus/economia/2024/02/22/irizar-resulta-elegido-10-proyectos-7908906.html,ev,Buses,irizar-aduna,Noticias de Gipuzkoa,"The Aduna facility is a dedicated electromobility plant producing electric buses, trucks, and battery packs. Under the PERTE VEC II program, the site is finishing development of a new generation of electric coaches and advanced EV materials through 2026.",€13.9m grant for new EV development,ESP,IRIZAR,43.20519995,-2.040007027,Aduna,IRIZAR Aduna
Irizar electric trucks,https://www.irizar.com/en/news,ev,HDVs,irizar-lazkao,Irizar Group News,"The Lazkao facility is a 2,200 m2 production plant dedicated to the 100% electric Irizar ie truck. Opened in early 2023 with an initial capacity of 60 trucks per year, the site began production of second-generation electric trucks in May 2024.",No data available.,ESP,IRIZAR,43.04390894,-2.189081878,Lazkao,IRIZAR Lazkao
Irizar,https://elpais.com/negocios/2023-05-17/los-autobuses-de-irizar-enfilan-la-salida-del-tunel.html,ev,Buses,irizar-ormaiztegi,El País,"The Ormaiztegi headquarters produces zero-emission intercity and long-distance coaches, including the electric i3 and hydrogen-powered i6S Efficient. As part of the PERTE VEC CAPITAL project, the company developed new electric platforms and battery systems through 2025.",€14m for PERTE CAPITAL project budget,ESP,IRIZAR,43.044062,-2.25627,Ormaiztegi,IRIZAR Ormaiztegi
Iveco,https://www.electrive.com/2024/10/18/iveco-bus-to-electrify-its-annonay-plant/,ev,Buses,iveco-annonay,electrive.com,"The Annonay plant produces HEULIEZ GX ELEC, IVECO E-WAY, and E-WAY-H2 hydrogen fuel cell buses. The facility features a dedicated battery assembly line for latest-generation batteries and manages the full electric value chain.",€600m for new zero-emission vehicle platform,FRA,IVECO GROUP,45.239403,4.667349,Annonay,IVECO GROUP Annonay
Iveco,https://www.stellantis.com/en/news/press-releases/2025/march/stellantis-pro-one-and-iveco-team-up-for-the-supply-of-two-electric-iveco-branded-vans,ev,HDVs,iveco-brescia,Stellantis Official Press Release,The IVECO Brescia plant electrifies eDaily vans and produces eJolly and eSuperJolly electric models. The facility also manufactures Daily Minibuses and tests dynamic wireless inductive charging technologies.,No data available.,ITA,IVECO GROUP,45.541553,10.211802,Brescia,IVECO GROUP Brescia
by FPT Powertrain Technologies,https://www.electrive.com/2023/11/28/iveco-receives-eib-loan-for-ev-development/,ev,"Buses, Engines/Electric motors",iveco-foggia,electrive.com,"The Foggia plant assembles battery electric and hydrogen fuel cell buses, with a target of 4,000 total vehicles produced by 2026. EV development at the Foggia and Turin facilities was accelerated through 2025 using European Investment Bank funding.",€40m for initial plant conversion,ITA,IVECO GROUP,41.462198,15.54463,Foggia,IVECO GROUP Foggia
Iveco,https://www.marklines.com/en/vehicle_plants/category/spain_vigo,ev,HDVs,iveco-madrid,MarkLines Automotive Industry Portal,"The IVECO Madrid facility is transitioning to zero-emission vehicle production with support from Spain's PERTE VEC III program. As part of the Poseidon initiative, the site develops and manufactures hydrogen-powered heavy commercial vehicles and fuel cell pilots.",€38.89m in public funding grants,ESP,IVECO GROUP,40.416775,-3.70379,Madrid,IVECO GROUP Madrid
"Heuliez, Iveco",https://www.ivecogroup.com/media/corporate_press_releases/2024/october/iveco_bus_confirms_major_industrial_investments_in_annonay_to_meet_demand_for_electric_buses_and_electric_batteries,ev,Buses,iveco-rorthais,Iveco Group,"The Rorthais facility is IVECO’s electromobility hub, producing HEULIEZ GX ELEC and IVECO E-WAY electric buses. Since 2024, the site has fulfilled major contracts for Paris and Nantes while introducing production lines for new E-WAY-H2 hydrogen fuel cell models.",€600m for zero-emission vehicle platforms,FRA,IVECO GROUP,46.916446,-0.707339,Rorthais,IVECO GROUP Rorthais
Iveco,https://evsandbeyond.co.nz/stellantis-and-iveco-partner-on-electric-vans/,ev,LCVs,iveco-suzzara,EVs & Beyond,"The Suzzara plant produces the base chassis and body for the eDaily. Starting in 2026, the facility also assembles new electric vans through a partnership with Stellantis, with final battery integration completed at the Brescia facility.",No data available.,ITA,IVECO GROUP,44.991873,10.742497,Suzzara,IVECO GROUP Suzzara
Iveco,https://www.electrive.com/2020/02/07/nikola-tre-to-build-electric-trucks-at-iveco-in-germany/,ev,HDVs,iveco-ulm,Electrive,"The Ulm facility is a dedicated manufacturing hub for heavy-duty electric and fuel-cell trucks, specifically the IVECO S-eWay models. Following its transition from a joint venture with Nikola to full IVECO ownership, the plant commenced scheduled deliveries in 2024 and 2025.",€40m for facility upgrade and conversion,DEU,IVECO GROUP,48.401082,9.987608,Ulm,IVECO GROUP Ulm
Iveco,https://www.sustainable-bus.com/news/iveco-bus-inaugurates-new-prototype-and-testing-center-in-vysoke-myto/,ev,Buses,iveco-vysok-myto,Sustainable Bus,"The Vysoké Mýto plant focuses on zero-emission public transport, manufacturing the battery-electric Crossway Low Entry and Crossway Normal Floor models. A Prototype and Testing Center, which became operational in June 2025, supports the ongoing development of battery-electric and hydrogen-powered vehicles.",€16m for prototype and testing center,CZE,IVECO GROUP,49.954264,16.164168,Vysoké Myto,IVECO GROUP Vysoké Myto
Land Rover,https://www.electrive.com/2023/10/26/jlr-converts-slovakian-nitra-plant-for-bev-production/,ev,Cars,jaguar-land-rover-nitra,electrive.com,"Jaguar Land Rover is reconfiguring its Nitra plant to produce electric vehicles by 2030 as part of its Reimagine Strategy. The facility is scheduled to launch nine all-electric models, including EV versions of the Defender and Discovery.",£24m for new electric paint line,SVK,JAGUAR LAND ROVER,48.352859,18.059114,Nitra,JAGUAR LAND ROVER Nitra
Credobus,https://hungarytoday.hu/first-locally-made-electric-articulated-bus-ready-for-the-road/,ev,Buses,kravtex-kühne-gyr,Hungary Today,"The Kravtex-Kühne Group produces the Credobus Electronell, a 100% electric bus family including 12-meter and 18-meter models. Components are manufactured in Mosonmagyaróvár with final assembly in Győr. The company is currently conducting passenger testing and preparing for series production to supply Hungarian public transport operators.",€5.2 million investment in plant facilities,HUN,KRAVTEX-KÜHNE GROUP,47.68390499,17.66416681,Győr,KRAVTEX-KÜHNE GROUP Győr
Batteries for buses,https://www.businesswire.com/news/home/20250206686142/en/Leclanch%C3%A9-and-Pinnacle-Advance-Strategic-Partnership-%E2%80%93-Milestone-Reached-with-Successful-Completion-of-Due-Diligence,ev,Batteries,leclanché-willsttt,Business Wire,"Leclanché's Willstätt facility has expanded to an annual production capacity of 2 GWh. The plant produces proprietary water-based, PFAS-free lithium-ion battery cells for electric vehicles and heavy-duty transport.",€215.5m for EU-backed project expansion,DEU,LECLANCHÉ,48.54000749,7.884974,Willstätt,LECLANCHÉ Willstätt
"BMW, Fisker, JLR, Mercedes-Benz, Toyota",https://www.teslarati.com/volkswagen-partners-scout-ev-development-deal/,ev,Cars,magna-steyr-graz,Teslarati,"Magna Steyr's Graz facility is a hub for electric vehicle production, including the assembly of Xpeng G6, Xpeng G9, and GAC Aion V SUVs. The site is currently launching production of Volkswagen's Scout EV SUV and pickup models.",€450m for Volkswagen Scout EV development,AUT,MAGNA STEYR,47.070714,15.439504,Graz,MAGNA STEYR Graz
Mercedes-Benz,https://www.electrive.com/2021/03/04/mercedes-upgrades-berlin-factory-to-produce-ev-components/,ev,Engines/Electric motors,mercedes-benz-berlin,electrive.com,"The Mercedes-Benz Berlin plant is a competence center for e-mobility and digitalization. The facility assembles battery electrical control units and electric drive units, and recently expanded its portfolio to include the manufacture and assembly of ultra-high-performance axial-flux electric motors.",€100m-€300m for plant investment,DEU,MERCEDES-BENZ GROUP,52.520007,13.404954,Berlin,MERCEDES-BENZ GROUP Berlin
Mercedes-Benz,https://kitalent.com,ev,Cars,mercedes-benz-bremen,KiTalent,The Mercedes-Benz Bremen facility is the lead plant for compact EV production using the Modular Architecture (MMA) platform. Production is scheduled to begin in late 2026.,"Over €1,000,000,000 in plant investment",DEU,MERCEDES-BENZ GROUP,53.079296,8.801694,Bremen,MERCEDES-BENZ GROUP Bremen
Mercedes-Benz,https://www.electrive.com/2022/09/08/mercedes-gears-up-for-electric-van-production/,ev,LCVs,mercedes-benz-dsseldorf,electrive.com,"The Düsseldorf plant produces the next-generation eSprinter and open body style electric vans. These vehicles are based on the VAN.EA platform, which was scheduled to launch in 2026.",€400m investment in plant facilities,DEU,MERCEDES-BENZ GROUP,51.227741,6.773456,Düsseldorf,MERCEDES-BENZ GROUP Düsseldorf
Mercedes-Benz,https://hungarytoday.hu/mercedes-benz-opens-first-research-center-in-kecskemet/,ev,Cars,mercedes-benz-kecskemet,Hungary Today,"The Kecskemét plant follows an Electric Only strategy, utilizing the MMA and MB.EA platforms for models like the GLB. The site features a battery assembly facility and an R&D center for EV prototype testing, with expanded series production commenced in 2025-2026.",Over €1.05bn for expansion and R&D,HUN,MERCEDES-BENZ GROUP,46.896371,19.689686,Kecskemet,MERCEDES-BENZ GROUP Kecskemet
